"","land","plot","year","species","abundance","height","id"
"84","Narnia",1,1999,"POLBIS",2,13.5,"1999HE198"
"85","Narnia",1,1999,"DEGVAG",2,6,"1999HE199"
"86","Narnia",1,1999,"DEGVAG",5,10.5,"1999HE1910"
"87","Narnia",1,1999,"YALPUL",2,6,"1999HE1101"
"88","Narnia",1,1999,"DEGVAG",3,11,"1999HE1102"
"89","Narnia",1,1999,"DEGVAG",3,8,"1999HE1103"
"90","Narnia",1,1999,"DEGVAG",5,9.5,"1999HE1104"
"91","Narnia",1,1999,"DRYINT",2,0.5,"1999HE1105"
"92","Narnia",1,1999,"DRYINT",2,0.5,"1999HE1106"
"93","Narnia",1,1999,"DEGVAG",3,13,"1999HE1107"
"94","Narnia",1,1999,"DRYINT",2,0,"1999HE1108"
"95","Narnia",1,1999,"DEGVAG",2,0,"1999HE1109"
"96","Narnia",1,1999,"DEGVAG",2,5,"1999HE11010"
"97","Narnia",2,1999,"DACARC",2,0,"1999HE211"
"98","Narnia",2,1999,"YALPUL",3,8,"1999HE212"
"99","Narnia",2,1999,"YALPUL",2,0,"1999HE213"
"100","Narnia",2,1999,"YALRET",2,3,"1999HE214"
"101","Narnia",2,1999,"YALRET",2,0,"1999HE215"
"102","Narnia",2,1999,"DEGVAG",2,9.5,"1999HE216"
"103","Narnia",2,1999,"YALPUL",2,5,"1999HE217"
"104","Narnia",2,1999,"DEGVAG",2,6,"1999HE218"
"105","Narnia",2,1999,"DEGVAG",2,3.5,"1999HE219"
"106","Narnia",2,1999,"YALPUL",2,5.5,"1999HE221"
"107","Narnia",2,1999,"HIEALP",2,1.5,"1999HE222"
"108","Narnia",2,1999,"YALRET",2,1,"1999HE223"
"109","Narnia",2,1999,"XXXbareground",2,0,"1999HE224"
"110","Narnia",2,1999,"XXXbareground",2,0,"1999HE225"
"111","Narnia",2,1999,"YALRET",2,0,"1999HE226"
"112","Narnia",2,1999,"YALPUL",2,4,"1999HE227"
"113","Narnia",2,1999,"DEGVAG",3,0,"1999HE228"
"114","Narnia",2,1999,"YALPUL",5,9.5,"1999HE229"
"115","Narnia",2,1999,"CETCUC",2,0,"1999HE231"
"116","Narnia",2,1999,"XXXlitter",2,0,"1999HE232"
"117","Narnia",2,1999,"CETCUC",2,0,"1999HE233"
"118","Narnia",2,1999,"PEDCAP",2,1.5,"1999HE234"
"119","Narnia",2,1999,"DRYINT",2,3,"1999HE235"
"120","Narnia",2,1999,"XXXlitter",2,0,"1999HE236"
"121","Narnia",2,1999,"YALRET",2,1.5,"1999HE237"
"122","Narnia",2,1999,"YALRET",2,4.5,"1999HE238"
"123","Narnia",2,1999,"YALPUL",2,3,"1999HE239"
"124","Narnia",2,1999,"YALPUL",2,8,"1999HE241"
"125","Narnia",2,1999,"XXXotherlichen",2,0,"1999HE242"
"126","Narnia",2,1999,"XXXbareground",2,0,"1999HE243"
"127","Narnia",2,1999,"XXXbareground",2,0,"1999HE244"
"128","Narnia",2,1999,"PEDCAP",2,4,"1999HE245"
"129","Narnia",2,1999,"DRYINT",2,3,"1999HE246"
"130","Narnia",2,1999,"THASUB",2,1.5,"1999HE247"
"131","Narnia",2,1999,"YALRET",2,0,"1999HE248"
"132","Narnia",2,1999,"YALPUL",2,5.5,"1999HE249"
"133","Narnia",2,1999,"CETCUC",2,0,"1999HE251"
"134","Narnia",2,1999,"XXXbareground",2,0,"1999HE252"
"135","Narnia",2,1999,"XXXbareground",2,0,"1999HE253"
"136","Narnia",2,1999,"XXXbareground",2,0,"1999HE254"
"137","Narnia",2,1999,"ARCLAT",2,3.5,"1999HE255"
"138","Narnia",2,1999,"DEGVAG",2,0,"1999HE256"
"139","Narnia",2,1999,"DEGVAG",6,14,"1999HE258"
"140","Narnia",2,1999,"YALPUL",2,5.5,"1999HE259"
"141","Narnia",2,1999,"XXXlitter",2,0,"1999HE261"
"142","Narnia",2,1999,"YALPHL",2,3,"1999HE262"
"143","Narnia",2,1999,"XXXlitter",2,0,"1999HE264"
"144","Narnia",2,1999,"XXXlitter",2,0,"1999HE265"
"145","Narnia",2,1999,"DEGVAG",2,4.5,"1999HE266"
"146","Narnia",2,1999,"DEGVAG",2,4.5,"1999HE267"
"147","Narnia",2,1999,"DEGVAG",2,5.5,"1999HE268"
"148","Narnia",2,1999,"XXXcladonia",2,10,"1999HE271"
"149","Narnia",2,1999,"XXXlitter",2,0,"1999HE272"
"150","Narnia",2,1999,"XXXothermoss",2,0,"1999HE273"
"151","Narnia",2,1999,"XXXotherlichen",2,0,"1999HE274"
"152","Narnia",2,1999,"DEGVAG",3,3.5,"1999HE275"
"153","Narnia",2,1999,"DEGVAG",2,3,"1999HE276"
"154","Narnia",2,1999,"DEGVAG",5,4.5,"1999HE277"
"155","Narnia",2,1999,"DEGVAG",2,15,"1999HE278"
"156","Narnia",2,1999,"DEGVAG",2,0,"1999HE279"
"157","Narnia",2,1999,"YALPUL",2,0,"1999HE281"
"158","Narnia",2,1999,"SENATR",2,1.5,"1999HE282"
"159","Narnia",2,1999,"XXXlitter",2,0,"1999HE283"
"160","Narnia",2,1999,"ARCLAT",2,3.5,"1999HE284"
"161","Narnia",2,1999,"DEGVAG",3,16,"1999HE285"
"162","Narnia",2,1999,"DEGVAG",2,3.5,"1999HE286"
"163","Narnia",2,1999,"DEGVAG",3,5,"1999HE287"
"164","Narnia",2,1999,"DEGVAG",2,3.5,"1999HE288"
"165","Narnia",2,1999,"SAUANG",2,4,"1999HE289"
"166","Narnia",2,1999,"XXXlitter",2,0,"1999HE291"
"167","Narnia",2,1999,"XXXotherlichen",2,0,"1999HE292"
"168","Narnia",2,1999,"XXXothermoss",2,0,"1999HE293"
"169","Narnia",2,1999,"CETCUC",2,0,"1999HE294"
"170","Narnia",2,1999,"DEGVAG",5,4,"1999HE295"
"171","Narnia",2,1999,"POLBIS",2,4,"1999HE296"
"172","Narnia",2,1999,"DEGVAG",3,3,"1999HE297"
"173","Narnia",2,1999,"DEGVAG",2,6,"1999HE298"
"174","Narnia",2,1999,"YALPUL",2,6.5,"1999HE299"
"175","Narnia",2,1999,"XXXlitter",2,0,"1999HE2101"
"176","Narnia",2,1999,"DEGVAG",2,31,"1999HE2102"
"177","Narnia",2,1999,"DEGVAG",2,4,"1999HE2103"
"178","Narnia",2,1999,"DEGVAG",3,16,"1999HE2104"
"179","Narnia",2,1999,"DEGVAG",3,15,"1999HE2105"
"180","Narnia",2,1999,"DEGVAG",2,9,"1999HE2106"
"181","Narnia",2,1999,"DEGVAG",2,9,"1999HE2107"
"182","Narnia",2,1999,"DEGVAG",2,4.5,"1999HE2108"
"183","Narnia",2,1999,"DEGVAG",3,9,"1999HE2109"
"184","Narnia",3,1999,"YALPUL",2,5.5,"1999HE311"
"185","Narnia",3,1999,"YALPUL",2,8,"1999HE312"
"186","Narnia",3,1999,"XXXcarex",2,3.5,"1999HE313"
"187","Narnia",3,1999,"DEGVAG",2,0,"1999HE314"
"188","Narnia",3,1999,"DEGVAG",2,1.5,"1999HE315"
"189","Narnia",3,1999,"YALPUL",2,6,"1999HE316"
"190","Narnia",3,1999,"XXXcarex",2,1,"1999HE317"
"191","Narnia",3,1999,"XXXcarex",2,3,"1999HE318"
"192","Narnia",3,1999,"XXXcarex",2,3,"1999HE319"
"193","Narnia",3,1999,"YALPUL",2,6.5,"1999HE3110"
"194","Narnia",3,1999,"DEGVAG",2,9.5,"1999HE321"
"195","Narnia",3,1999,"DEGVAG",2,30,"1999HE322"
"196","Narnia",3,1999,"DEGVAG",2,11,"1999HE323"
"197","Narnia",3,1999,"XXXlitter",2,0,"1999HE324"
"198","Narnia",3,1999,"YALRET",2,0.5,"1999HE325"
"199","Narnia",3,1999,"XXXbareground",2,0,"1999HE326"
"200","Narnia",3,1999,"PYRGRA",2,1,"1999HE327"
"201","Narnia",3,1999,"YALPUL",3,3,"1999HE328"
"202","Narnia",3,1999,"XXXcarex",2,3,"1999HE329"
"203","Narnia",3,1999,"XXXcarex",2,3.5,"1999HE3210"
"204","Narnia",3,1999,"DEGVAG",5,4,"1999HE331"
"205","Narnia",3,1999,"DEGVAG",3,4,"1999HE332"
"206","Narnia",3,1999,"DEGVAG",2,8,"1999HE333"
"207","Narnia",3,1999,"DEGVAG",2,0,"1999HE334"
"208","Narnia",3,1999,"PYRGRA",2,0.5,"1999HE336"
"209","Narnia",3,1999,"XXXbareground",2,0,"1999HE337"
"210","Narnia",3,1999,"XXXotherlichen",2,0,"1999HE338"
"211","Narnia",3,1999,"DEGVAG",2,0,"1999HE339"
"212","Narnia",3,1999,"YALPUL",2,8,"1999HE3310"
"213","Narnia",3,1999,"YALPUL",2,10,"1999HE341"
"214","Narnia",3,1999,"DEGVAG",2,6,"1999HE342"
"215","Narnia",3,1999,"DEGVAG",2,4,"1999HE343"
"216","Narnia",3,1999,"DEGVAG",2,0,"1999HE344"
"217","Narnia",3,1999,"YALRET",2,3,"1999HE345"
"218","Narnia",3,1999,"PYRGRA",2,0,"1999HE346"
"219","Narnia",3,1999,"XXXcarex",2,0,"1999HE347"
"220","Narnia",3,1999,"DEGVAG",2,9,"1999HE348"
"221","Narnia",3,1999,"DEGVAG",3,5.5,"1999HE349"
"222","Narnia",3,1999,"DEGVAG",2,15,"1999HE3410"
"223","Narnia",3,1999,"DEGVAG",2,0,"1999HE351"
"224","Narnia",3,1999,"DEGVAG",3,3.5,"1999HE352"
"225","Narnia",3,1999,"DEGVAG",5,31,"1999HE353"
"226","Narnia",3,1999,"DEGVAG",5,8,"1999HE354"
"227","Narnia",3,1999,"DEGVAG",2,16,"1999HE355"
"228","Narnia",3,1999,"DEGVAG",2,4,"1999HE356"
"229","Narnia",3,1999,"DEGVAG",2,6,"1999HE357"
"230","Narnia",3,1999,"DEGVAG",5,6,"1999HE358"
"231","Narnia",3,1999,"DEGVAG",5,10,"1999HE359"
"232","Narnia",3,1999,"DEGVAG",5,9.5,"1999HE3510"
"233","Narnia",3,1999,"DEGVAG",2,1.5,"1999HE361"
"234","Narnia",3,1999,"DEGVAG",2,0.5,"1999HE362"
"235","Narnia",3,1999,"DEGVAG",5,19.5,"1999HE363"
"236","Narnia",3,1999,"DEGVAG",2,8.5,"1999HE364"
"237","Narnia",3,1999,"POLBIS",2,4,"1999HE365"
"238","Narnia",3,1999,"PYRGRA",2,0,"1999HE366"
"239","Narnia",3,1999,"DEGVAG",5,11,"1999HE367"
"240","Narnia",3,1999,"DEGVAG",2,10,"1999HE368"
"241","Narnia",3,1999,"DEGVAG",5,0,"1999HE369"
"242","Narnia",3,1999,"DEGVAG",2,10,"1999HE3610"
"243","Narnia",3,1999,"DEGVAG",5,6,"1999HE371"
"244","Narnia",3,1999,"DEGVAG",5,18,"1999HE372"
"245","Narnia",3,1999,"DEGVAG",2,36,"1999HE374"
"246","Narnia",3,1999,"XXXcarex",2,5,"1999HE375"
"247","Narnia",3,1999,"XXXcarex",2,3,"1999HE376"
"248","Narnia",3,1999,"DEGVAG",2,3,"1999HE377"
"249","Narnia",3,1999,"DEGVAG",3,0,"1999HE378"
"250","Narnia",3,1999,"DEGVAG",2,4,"1999HE379"
"251","Narnia",3,1999,"DEGVAG",2,1,"1999HE3710"
"252","Narnia",3,1999,"XXXlitter",2,0,"1999HE381"
"253","Narnia",3,1999,"DEGVAG",2,3,"1999HE382"
"254","Narnia",3,1999,"DEGVAG",2,5,"1999HE383"
"255","Narnia",3,1999,"THASUB",2,0,"1999HE384"
"256","Narnia",3,1999,"CETCUC",2,0,"1999HE385"
"257","Narnia",3,1999,"XXXcarex",2,3.5,"1999HE386"
"258","Narnia",3,1999,"XXXlitter",2,0,"1999HE387"
"259","Narnia",3,1999,"XXXcarex",2,0,"1999HE388"
"260","Narnia",3,1999,"DEGVAG",3,5.5,"1999HE389"
"261","Narnia",3,1999,"DEGVAG",2,1,"1999HE3810"
"262","Narnia",3,1999,"XXXlitter",2,0,"1999HE391"
"263","Narnia",3,1999,"XXXotherlichen",2,0,"1999HE392"
"264","Narnia",3,1999,"XXXcarex",2,6,"1999HE393"
"265","Narnia",3,1999,"XXXlitter",2,0,"1999HE394"
"266","Narnia",3,1999,"PEDLAN",2,11.5,"1999HE395"
"267","Narnia",3,1999,"XXXlitter",2,0,"1999HE396"
"268","Narnia",3,1999,"XXXlitter",2,0,"1999HE397"
"269","Narnia",3,1999,"XXXcarex",2,0,"1999HE398"
"270","Narnia",3,1999,"YALPUL",2,3,"1999HE399"
"271","Narnia",3,1999,"DEGVAG",2,10.5,"1999HE3910"
"272","Narnia",3,1999,"XXXlitter",2,0,"1999HE3101"
"273","Narnia",3,1999,"PYRGRA",2,1,"1999HE3102"
"274","Narnia",3,1999,"XXXotherlichen",2,0,"1999HE3103"
"275","Narnia",3,1999,"XXXcarex",2,0,"1999HE3104"
"276","Narnia",3,1999,"XXXcarex",2,4.5,"1999HE3105"
"277","Narnia",3,1999,"XXXlitter",2,0,"1999HE3106"
"278","Narnia",3,1999,"XXXlitter",2,0,"1999HE3107"
"279","Narnia",3,1999,"ARCLAT",2,0,"1999HE3108"
"280","Narnia",3,1999,"YALPUL",2,4.5,"1999HE3109"
"281","Narnia",3,1999,"YALRET",2,6,"1999HE31010"
"282","Narnia",4,1999,"YALPUL",2,6.5,"1999HE411"
"283","Narnia",4,1999,"POAARC",2,3.5,"1999HE412"
"284","Narnia",4,1999,"DEGVAG",2,3,"1999HE413"
"285","Narnia",4,1999,"YALPUL",5,6,"1999HE414"
"286","Narnia",4,1999,"YALPUL",2,5,"1999HE415"
"287","Narnia",4,1999,"YALRET",2,0.5,"1999HE416"
"288","Narnia",4,1999,"XXXlitter",2,0,"1999HE417"
"289","Narnia",4,1999,"YALRET",2,0.5,"1999HE418"
"290","Narnia",4,1999,"XXXotherlichen",2,0,"1999HE419"
"291","Narnia",4,1999,"CETCUC",2,0,"1999HE4110"
"292","Narnia",4,1999,"DEGVAG",2,6.5,"1999HE421"
"293","Narnia",4,1999,"DEGVAG",2,3,"1999HE422"
"294","Narnia",4,1999,"YALPUL",2,6,"1999HE423"
"295","Narnia",4,1999,"DEGVAG",2,4.5,"1999HE424"
"296","Narnia",4,1999,"DEGVAG",2,0,"1999HE425"
"297","Narnia",4,1999,"DEGVAG",2,3,"1999HE426"
"298","Narnia",4,1999,"CETCUC",2,0,"1999HE427"
"299","Narnia",4,1999,"XXXotherherb",2,1.5,"1999HE428"
"300","Narnia",4,1999,"XXXothermoss",2,0,"1999HE429"
"301","Narnia",4,1999,"CETCUC",2,0,"1999HE4210"
"302","Narnia",4,1999,"DEGVAG",2,5,"1999HE431"
"303","Narnia",4,1999,"DEGVAG",2,0,"1999HE433"
"304","Narnia",4,1999,"YALPUL",5,6,"1999HE434"
"305","Narnia",4,1999,"YALPUL",2,4,"1999HE435"
"306","Narnia",4,1999,"YALPUL",2,5.5,"1999HE436"
"307","Narnia",4,1999,"XXXotherlichen",2,0,"1999HE437"
"308","Narnia",4,1999,"YALRET",2,1.5,"1999HE438"
"309","Narnia",4,1999,"YALPUL",2,9,"1999HE439"
"310","Narnia",4,1999,"XXXotherlichen",2,1,"1999HE4310"
"311","Narnia",4,1999,"DEGVAG",3,33,"1999HE441"
"312","Narnia",4,1999,"DEGVAG",2,31,"1999HE442"
"313","Narnia",4,1999,"DEGVAG",2,8.5,"1999HE443"
"314","Narnia",4,1999,"DEGVAG",2,36,"1999HE444"
"315","Narnia",4,1999,"CETISL",2,3,"1999HE445"
"316","Narnia",4,1999,"CETCUC",2,0,"1999HE446"
"317","Narnia",4,1999,"DRYINT",2,1,"1999HE447"
"318","Narnia",4,1999,"CETISL",2,3,"1999HE448"
"319","Narnia",4,1999,"THASUB",2,0,"1999HE449"
"320","Narnia",4,1999,"XXXotherlichen",2,1,"1999HE4410"
"321","Narnia",4,1999,"YALPUL",2,4.5,"1999HE451"
"322","Narnia",4,1999,"DEGVAG",6,14,"1999HE452"
"323","Narnia",4,1999,"DEGVAG",5,10.5,"1999HE453"
"324","Narnia",4,1999,"DEGVAG",2,3.5,"1999HE454"
"325","Narnia",4,1999,"DEGVAG",7,30,"1999HE455"
"326","Narnia",4,1999,"DEGVAG",2,3.5,"1999HE456"
"327","Narnia",4,1999,"CETCUC",2,0,"1999HE457"
"328","Narnia",4,1999,"DRYINT",2,0.5,"1999HE458"
"329","Narnia",4,1999,"DACARC",2,0,"1999HE459"
"330","Narnia",4,1999,"CETCUC",2,0,"1999HE4510"
"331","Narnia",4,1999,"YALPUL",3,6,"1999HE461"
"332","Narnia",4,1999,"DEGVAG",3,16.5,"1999HE462"
"333","Narnia",4,1999,"DEGVAG",2,5.5,"1999HE463"
"334","Narnia",4,1999,"DEGVAG",3,6,"1999HE464"
"335","Narnia",4,1999,"DEGVAG",7,11,"1999HE465"
"336","Narnia",4,1999,"DEGVAG",2,0,"1999HE466"
"337","Narnia",4,1999,"XXXcarex",2,0,"1999HE467"
"338","Narnia",4,1999,"DACARC",2,0,"1999HE468"
"339","Narnia",4,1999,"XXXcarex",2,0,"1999HE469"
"340","Narnia",4,1999,"CETCUC",2,1.5,"1999HE4610"
"341","Narnia",4,1999,"DEGVAG",2,5.5,"1999HE471"
"342","Narnia",4,1999,"DEGVAG",5,13,"1999HE472"
"343","Narnia",4,1999,"DEGVAG",3,3,"1999HE473"
"344","Narnia",4,1999,"DEGVAG",2,8,"1999HE474"
"345","Narnia",4,1999,"DEGVAG",3,6.5,"1999HE475"
"346","Narnia",4,1999,"DEGVAG",2,0,"1999HE476"
"347","Narnia",4,1999,"XXXothermoss",2,0,"1999HE477"
"348","Narnia",4,1999,"XXXcarex",2,0,"1999HE478"
"349","Narnia",4,1999,"XXXcarex",2,0,"1999HE479"
"350","Narnia",4,1999,"POLBIS",2,4,"1999HE4710"
"351","Narnia",4,1999,"DEGVAG",2,4,"1999HE481"
"352","Narnia",4,1999,"DEGVAG",3,4,"1999HE482"
"353","Narnia",4,1999,"DEGVAG",3,5,"1999HE483"
"354","Narnia",4,1999,"DEGVAG",3,1.5,"1999HE484"
"355","Narnia",4,1999,"DEGVAG",3,6.5,"1999HE485"
"356","Narnia",4,1999,"DEGVAG",3,6.5,"1999HE486"
"357","Narnia",4,1999,"CETCUC",2,0,"1999HE487"
"358","Narnia",4,1999,"XXXcarex",2,0,"1999HE488"
"359","Narnia",4,1999,"DEGVAG",2,14.5,"1999HE489"
"360","Narnia",4,1999,"DEGVAG",3,0,"1999HE4810"
"361","Narnia",4,1999,"DEGVAG",2,6,"1999HE492"
"362","Narnia",4,1999,"DEGVAG",2,5.5,"1999HE493"
"363","Narnia",4,1999,"DEGVAG",3,6,"1999HE494"
"364","Narnia",4,1999,"YALPUL",3,0,"1999HE495"
"365","Narnia",4,1999,"CETCUC",2,0,"1999HE496"
"366","Narnia",4,1999,"YALPUL",2,6,"1999HE497"
"367","Narnia",4,1999,"XXXcarex",2,0,"1999HE498"
"368","Narnia",4,1999,"YALPUL",2,4,"1999HE499"
"369","Narnia",4,1999,"DEGVAG",5,13,"1999HE4910"
"370","Narnia",4,1999,"DEGVAG",2,3,"1999HE4101"
"371","Narnia",4,1999,"YALPUL",2,1.5,"1999HE4102"
"372","Narnia",4,1999,"POLBIS",2,4.5,"1999HE4103"
"373","Narnia",4,1999,"XXXothermoss",2,0,"1999HE4104"
"374","Narnia",4,1999,"YALPUL",2,0,"1999HE4105"
"375","Narnia",4,1999,"YALPUL",2,4,"1999HE4106"
"376","Narnia",4,1999,"YALPUL",2,0,"1999HE4107"
"377","Narnia",4,1999,"DEGVAG",2,0,"1999HE4108"
"378","Narnia",4,1999,"YALPUL",2,3,"1999HE4109"
"379","Narnia",4,1999,"DEGVAG",6,6.5,"1999HE41010"
"380","Narnia",5,1999,"YALRET",2,1,"1999HE511"
"381","Narnia",5,1999,"XXXothermoss",2,0,"1999HE512"
"382","Narnia",5,1999,"DEGVAG",2,0,"1999HE513"
"383","Narnia",5,1999,"DEGVAG",2,0,"1999HE514"
"384","Narnia",5,1999,"LUPARC",2,0,"1999HE515"
"385","Narnia",5,1999,"DEGVAG",2,6,"1999HE516"
"386","Narnia",5,1999,"DEGVAG",3,5.5,"1999HE517"
"387","Narnia",5,1999,"DEGVAG",2,5.5,"1999HE518"
"388","Narnia",5,1999,"POLVIV",2,6,"1999HE519"
"389","Narnia",5,1999,"DEGVAG",2,4,"1999HE521"
"390","Narnia",5,1999,"DEGVAG",2,3,"1999HE522"
"391","Narnia",5,1999,"XXXotherherb",2,0.5,"1999HE523"
"392","Narnia",5,1999,"POAARC",2,4,"1999HE524"
"393","Narnia",5,1999,"YALPHL",3,6.5,"1999HE525"
"394","Narnia",5,1999,"DEGVAG",2,0,"1999HE526"
"395","Narnia",5,1999,"DEGVAG",2,6,"1999HE527"
"396","Narnia",5,1999,"DEGVAG",2,6.5,"1999HE528"
"397","Narnia",5,1999,"XXXotherlichen",2,0,"1999HE529"
"398","Narnia",5,1999,"XXXluzula",2,3.5,"1999HE5210"
"399","Narnia",5,1999,"DEGVAG",2,8,"1999HE531"
"400","Narnia",5,1999,"DEGVAG",5,3,"1999HE532"
"401","Narnia",5,1999,"DEGVAG",2,6,"1999HE533"
"402","Narnia",5,1999,"DEGVAG",2,5,"1999HE534"
"403","Narnia",5,1999,"DEGVAG",2,0,"1999HE535"
"404","Narnia",5,1999,"DEGVAG",3,8.5,"1999HE537"
"405","Narnia",5,1999,"DEGVAG",3,38,"1999HE539"
"406","Narnia",5,1999,"ARCLAT",2,10,"1999HE5310"
"407","Narnia",5,1999,"DEGVAG",2,6,"1999HE541"
"408","Narnia",5,1999,"DEGVAG",5,6,"1999HE542"
"409","Narnia",5,1999,"DEGVAG",2,4.5,"1999HE543"
"410","Narnia",5,1999,"DEGVAG",5,5.5,"1999HE544"
"411","Narnia",5,1999,"XXXothermoss",2,0,"1999HE545"
"412","Narnia",5,1999,"DEGVAG",2,5.5,"1999HE546"
"413","Narnia",5,1999,"YALPUL",2,3.5,"1999HE547"
"414","Narnia",5,1999,"DEGVAG",3,38,"1999HE548"
"415","Narnia",5,1999,"DEGVAG",2,5.5,"1999HE549"
"416","Narnia",5,1999,"DEGVAG",2,4,"1999HE5410"
